Distance (m),2 h,4 h,6 h,8 h,10 h,12 h
0.023246492985971944,1.473419932138552e-09,2.622503838234076e-07,2.666570728753994e-06,4.819560077212028e-06,3.3134736830801743e-06,1.5360936468732743e-06
0.023647294589178358,1.528715481458841e-09,2.479862572679619e-07,2.565460930338268e-06,4.811115009282185e-06,3.4346634985578583e-06,1.6606033174422426e-06
0.02404809619238477,1.5961994024115846e-09,2.3513748628479226e-07,2.466861792705659e-06,4.8002865519521926e-06,3.550643629503918e-06,1.7861990234737111e-06
0.024448897795591184,1.6700733434434797e-09,2.2366384477804553e-07,2.3739547784324765e-06,4.787658262533089e-06,3.658259294035604e-06,1.9077127655595013e-06
0.024849699398797595,1.7445389530012213e-09,2.1352510665186884e-07,2.2899213500950354e-06,4.773813698335914e-06,3.7543557102701633e-06,2.01997654429143e-06
0.02525050100200401,1.8137978795315076e-09,2.0468104581040905e-07,2.217942970269645e-06,4.759336416671707e-06,3.835778096324845e-06,2.117822360261318e-06
0.02565130260521042,1.8720517714810328e-09,1.9709143615781335e-07,2.161201101532621e-06,4.744809974851505e-06,3.8993716703168964e-06,2.1960822140609835e-06
0.026052104208416832,1.9135022772964945e-09,1.907160515982286e-07,2.1228772064602728e-06,4.730817930186349e-06,3.9419816503635676e-06,2.249588106282247e-06
0.026452905811623247,1.932351045424589e-09,1.8551466603580176e-07,2.106152747628914e-06,4.717943839987278e-06,3.960453254582105e-06,2.273172037516926e-06
0.026853707414829658,1.908828787180551e-09,1.8112331476857305e-07,2.1070545554627397e-06,4.705259235041831e-06,3.957622069858285e-06,2.273803232100732e-06
0.027254509018036072,1.8203774680089502e-09,1.7690514233475215e-07,2.112371118933989e-06,4.6904090382418076e-06,3.9448646644076175e-06,2.2736395103658603e-06
0.027655310621242483,1.6813367334487906e-09,1.7290589279875292e-07,2.121321284852987e-06,4.674100384455619e-06,3.923817211988781e-06,2.2733514414404695e-06
0.028056112224448898,1.5069864035602694e-09,1.6919069636342897e-07,2.133515375217769e-06,4.657129199583218e-06,3.89579740261845e-06,2.272939919275985e-06
