Time (h),CSF_modelA_conc_mmol_l,CSF_LargePVSA_conc_mmol_l,CSF_modelA-strongVM_conc_mmol_l,CSF_LargePVS_conc_mmol_l,parenchyma_modelA_conc_mmol_l,parenchyma_LargePVSA_conc_mmol_l,parenchyma_modelA-strongVM_conc_mmol_l,parenchyma_LargePVS_conc_mmol_l,PVS_artery_modelA_conc_mmol_l,PVS_artery_LargePVSA_conc_mmol_l,PVS_artery_modelA-strongVM_conc_mmol_l,PVS_artery_LargePVS_conc_mmol_l,PVS_vein_modelA_conc_mmol_l,PVS_vein_LargePVSA_conc_mmol_l,PVS_vein_modelA-strongVM_conc_mmol_l,PVS_vein_LargePVS_conc_mmol_l
12.966666666666667,0.7227544846689317,0.644487888432083,0.5876690158818285,0.571410080976896,0.20457237356112248,0.14282233620528137,0.3372979696881065,0.18070178767747877,1.6118662552970782,1.2212355825994639,0.6027413804324967,1.1225840523045172,0.71951854886245,0.5084282566882948,0.5673983765244583,0.6170353694261304
13.0,0.7209492439971938,0.6428774253806898,0.5856180625042945,0.5699767915040573,0.20492411643828407,0.14305782141545717,0.3378383907404272,0.18109643655416988,1.6080171924744793,1.2203074373225478,0.5992732878021764,1.120156826140708,0.7189882441334878,0.5084793351269642,0.5660151446128002,0.6165944343867783
13.033333333333333,0.7191461908147828,0.6412713992717985,0.5835717881658353,0.568547765655221,0.20527496707245646,0.14329326498869535,0.338375618074843,0.1814904103875322,1.6041314396988788,1.2193601715315212,0.5958056965396354,1.1177146876776975,0.7184559731760128,0.5085235958081782,0.5646348386596519,0.6161476549465106
13.066666666666666,0.7173453708626987,0.6396698249066767,0.5815302550121232,0.5671230253276486,0.20562491536481617,0.1435286682397995,0.33890962518160134,0.18188369076000918,1.6002096025238028,1.2183937106855913,0.5923391541223796,1.1152577467183213,0.7179216586931689,0.5085611533662887,0.5632574547340642,0.6156950943268544
13.1,0.71554682819467,0.6380727156700199,0.5794935231340376,0.5657025906409328,0.20597395079557568,0.14376403180216538,0.3394403856390417,0.18227625896662886,1.5962523002726,1.2174079906641995,0.5888742054517211,1.11278612125244,0.7173852208842956,0.5085921195391225,0.5618829876391912,0.6152368135756464
13.133333333333333,0.7137506051632545,0.6364800835388746,0.5774616505592621,0.5642864799397681,0.20632206244346496,0.14399935564770094,0.3399678731535014,0.1826680960427972,1.5922601654140365,1.216402957620901,0.5854113922782619,1.110299937188004,0.7168465776795766,0.5086166031882046,0.5605114309997239,0.614772871639779
13.166666666666666,0.7119567424085752,0.634891939092056,0.5754346932463378,0.5628747097981497,0.2066692390052766,0.14423463910697962,0.3404920615987886,0.18305918279193867,1.588233842937553,1.2153785678333962,0.5819512526506657,1.1077993280829157,0.7163056449729933,0.5086347103227167,0.5591427773490601,0.6143033254387799
13.2,0.710165278849815,0.6333082915203542,0.5734127050812996,0.561467295025784,0.20701546881530886,0.14446988088922932,0.34101292505395836,0.18344949981241937,1.5841739897284672,1.21433478754979,0.5784943203878042,1.1052844348775896,0.7157623368536213,0.5086465441271291,0.5577770182159829,0.6138282299391632
13.233333333333333,0.7083762516798352,0.6317291486377132,0.5713957378763583,0.5600642486752362,0.20736073986481235,0.14470507910234418,0.3415304378403455,0.18383902752436054,1.5800812739434522,1.2132715928312827,0.5750411245742008,1.1027554056286926,0.7152165658346739,0.5086522049922291,0.5564141442109373,0.6133476382295753
13.266666666666667,0.7065896963615381,0.6301545168928723,0.5693838413707839,0.5586655820512119,0.20770503982127128,0.14494023127288025,0.34204457455741943,0.18422774619572843,1.57595637438673,1.2121889693912535,0.5715921890787631,1.1002123952440177,0.7146682430803523,0.5086517905495421,0.5550541451116482,0.6128616015962832
