Time (h),BA_modelA-strongVM_PVS_concentration_mmol_l,BA_modelA-strongVM_outer_concentration_mmol_l,BA_modelB2-100_PVS_concentration_mmol_l,BA_modelB2-100_outer_concentration_mmol_l,MCA-R_modelA-strongVM_PVS_concentration_mmol_l,MCA-R_modelA-strongVM_outer_concentration_mmol_l,MCA-R_modelB2-100_PVS_concentration_mmol_l,MCA-R_modelB2-100_outer_concentration_mmol_l,MCA-L_modelA-strongVM_PVS_concentration_mmol_l,MCA-L_modelA-strongVM_outer_concentration_mmol_l,MCA-L_modelB2-100_PVS_concentration_mmol_l,MCA-L_modelB2-100_outer_concentration_mmol_l,ACA-A2_modelA-strongVM_PVS_concentration_mmol_l,ACA-A2_modelA-strongVM_outer_concentration_mmol_l,ACA-A2_modelB2-100_PVS_concentration_mmol_l,ACA-A2_modelB2-100_outer_concentration_mmol_l,ACA-A3_modelA-strongVM_PVS_concentration_mmol_l,ACA-A3_modelA-strongVM_outer_concentration_mmol_l,ACA-A3_modelB2-100_PVS_concentration_mmol_l,ACA-A3_modelB2-100_outer_concentration_mmol_l
1.1333333333333333,0.32205925029799093,4.34375776143172,2.2279974541385568,2.4288945039602927,0.017608780558084184,0.0007602706120049751,0.018508623667844358,0.016848124657820242,0.0011953568501614923,0.00019425202888918904,0.00048516893292328383,0.00045761041636411235,1.7653388382016613e-05,2.1975742792939852e-07,-5.624750408545107e-05,-5.912507187550628e-05,6.271172811756268e-07,-3.241584731509936e-07,-5.043502940474676e-06,-4.858148415098214e-06
1.1666666666666667,0.38131564687394737,5.130270581773849,2.6106470735603353,2.8444974051652765,0.02397071974591324,0.0011553335961139702,0.02660846264647754,0.024291323119526913,0.0017157630710017888,0.0002856326010896887,0.0007536475043686009,0.0007120258426202705,2.865303374510385e-05,2.617002828990239e-06,-7.966385409519743e-05,-8.368576018463728e-05,1.1936047068966445e-06,-3.875596038731379e-07,-7.83654073750606e-06,-7.556690581162243e-06
1.2,0.44721628549962633,6.004607311222127,3.0316227336631627,3.3015753959050302,0.03212470659806353,0.001710057253836087,0.03751851567069504,0.03434538708334489,0.0024238231800770603,0.00041317232074721856,0.0011505100684758786,0.0010887230083856708,4.557102839174837e-05,7.209329764283986e-06,-0.00011092585182915176,-0.00011646128892488313,2.1857109114587564e-06,-4.006047996596584e-07,-1.1944250644109987e-05,-1.1529759590618068e-05
1.2333333333333334,0.5198985570634718,6.96887296168375,3.4911708129231687,3.8003909418441326,0.042422461136348254,0.002470146265251743,0.051955809090993246,0.04768587129764278,0.0033731293737821483,0.0005884964362436931,0.00172746892329379,0.0016372448566401693,7.109631951638871e-05,1.5286368571193323e-05,-0.0001519523128700934,-0.0001594652744565608,3.869914155709479e-06,-2.9530208435659123e-07,-1.7876791996769555e-05,-1.7273951248285225e-05
1.2666666666666666,0.5994452756939788,8.024489415099378,3.9892340958794867,4.340878728153788,0.05524836412475686,0.0034891907325063955,0.07074729072109182,0.06509443678952867,0.004628401988369458,0.0008260920629908883,0.0025530310594782985,0.002423340952677348,0.00010891419424065678,2.868649074637445e-05,-0.00020489238723415132,-0.000214962574077896,6.650170680269844e-06,4.273407229325195e-08,-2.6297971001736955e-05,-2.5436243752819146e-05
1.3,0.6858859431882505,9.172197649723774,4.525467775917646,4.922662383642317,0.07101593652571894,0.004828989116504087,0.09483051446901922,0.08746014356707565,0.006266821578290373,0.001143784910846627,0.003716515165188781,0.003532884267913029,0.00016398905411149357,4.996280920043018e-05,-0.0002720699820357442,-0.0002854195550691111,1.1124708042294446e-05,7.961862499605078e-07,-3.80557982776104e-05,-3.684420925039597e-05
1.3333333333333333,0.7791983815120703,10.412062895130434,5.099253455982154,5.545068851404063,0.09016339027234965,0.006559741073756328,0.12525122245776737,0.11577779874918069,0.008379344865667444,0.001563251327072255,0.00533259875436999,0.005076317178532164,0.00024290029394326187,8.257987392039125e-05,-0.00035588883026643287,-0.000373417469560759,1.816046661124936e-05,2.245196963806557e-06,-5.421409643544467e-05,-5.253738630876641e-05
1.3666666666666667,0.8793101545791643,11.743475770804983,5.709707142152211,6.20713610454982,0.1131484163132883,0.008760113764154401,0.1631577349423011,0.15114324250287012,0.011071974782590418,0.0021105625588629623,0.007546354882246602,0.007193590568957327,0.00035423449275620177,0.0001311421317810844,-0.0004586877179210181,-0.0004815193363486144,2.8988683159898878e-05,4.8052645649372786e-06,-7.608338714080612e-05,-7.379810513388357e-05
1.4,0.9860991672340963,13.165142453337927,6.355677491482148,6.907610252896733,0.14044240619919446,0.011517192604204574,0.2097922132229461,0.19474560190292445,0.014466953013490411,0.0028167577056499517,0.010538707187087886,0.01005952986474686,0.0005090359312108298,0.00020165434055852648,-0.0005825343357008117,-0.0006120798423245972,4.5325248042153065e-05,9.075406734808903e-06,-0.0001052486540344258,-0.00010217943596917382
1.4333333333333333,1.0993928790497187,14.675058087160215,7.035731539202223,7.644929189824718,0.17252431842436813,0.014926333473276335,0.2664790090031089,0.24785668653737808,0.018703842058600033,0.0037184414263339996,0.014532199819910718,0.013889530085099591,0.0007213160522971813,0.0003018131846111619,-0.0007289454268876789,-0.0007669871158229964,6.951947283921122e-05,1.5898136463186985e-05,-0.00014359087607350852,-0.00013952724048716116
