Time (h),BA_PVS_concentration_mmol_l,BA_outside_PVS_concentration_mmol_l,BA_peak_time_h,BA_lag_time_h,BA_FTA_time_h,MCA-L_PVS_concentration_mmol_l,MCA-L_outside_PVS_concentration_mmol_l,MCA-L_peak_time_h,MCA-L_lag_time_h,MCA-L_FTA_time_h,MCA-R_PVS_concentration_mmol_l,MCA-R_outside_PVS_concentration_mmol_l,MCA-R_peak_time_h,MCA-R_lag_time_h,MCA-R_FTA_time_h,MCA2-L_PVS_concentration_mmol_l,MCA2-L_outside_PVS_concentration_mmol_l,MCA2-L_peak_time_h,MCA2-L_lag_time_h,MCA2-L_FTA_time_h,MCA2-R_PVS_concentration_mmol_l,MCA2-R_outside_PVS_concentration_mmol_l,MCA2-R_peak_time_h,MCA2-R_lag_time_h,MCA2-R_FTA_time_h,ACA-A2_PVS_concentration_mmol_l,ACA-A2_outside_PVS_concentration_mmol_l,ACA-A2_peak_time_h,ACA-A2_lag_time_h,ACA-A2_FTA_time_h,ACA-A3_PVS_concentration_mmol_l,ACA-A3_outside_PVS_concentration_mmol_l,ACA-A3_peak_time_h,ACA-A3_lag_time_h,ACA-A3_FTA_time_h
7.866666666666666,0.06442772202198482,0.0839648665428336,,,,4.688072092917243,5.065160140244045,,,,1.7300328059881487,4.196145567923047,,,,7.582791620458158,7.556739856613217,,,,5.77289408690784,5.1797513997705495,,,,8.049523547829049,8.746514626010386,,,,10.005847449619079,11.164964597261003,,,
7.9,0.06387795988225883,0.08354573796757286,,,,4.597138428110604,4.979241909700015,,,,1.7111359530336125,4.1720143403415015,,,,7.643261169430515,7.608627110012567,,,,5.7674756643651595,5.192733724517522,,,,8.027709833776122,8.714775235227384,,,,10.07557156090396,11.211190976277875,,,
7.933333333333334,0.06335209541996113,0.08313937424013906,,,,4.508227026138119,4.89499128758159,,,,1.6928010962660187,4.14806846034918,,,,7.7010781914949185,7.658088555979266,,,,5.760595440872354,5.204538822465727,,,,8.00434409338073,8.68168518985634,,,,10.142144610686882,11.254107686620438,,,
7.966666666666667,0.06284875103674316,0.08274514750479686,,,,4.421307084103912,4.812390054738868,,,,1.674996994460407,4.124295332544345,,,,7.75622796168825,7.705117215558506,,,,5.752274807868692,5.215164084393202,,,,7.979475424327971,8.647292702363783,,,,10.205575534649572,11.293752518411148,,,
8.0,0.062366637109515004,0.08236245263750791,,,,4.336347298831954,4.731419284540506,,,,1.6576940668333382,4.1006830754081305,,,,7.80869918249949,7.74970881085237,,,,5.742537075924933,5.224608401172018,,,,7.953152666304519,8.611645430155656,,,,10.265876225301394,11.330165237528407,,,
8.033333333333333,0.06190454529528141,0.0819907060979403,,,,4.253315936928328,4.652059403036638,,,,1.6408643241384289,4.077220501548806,,,,7.858483913080244,7.791861704151322,,,,5.731407373083176,5.232872151164095,,,,7.925424350969781,8.574790444725624,,,,10.323061390413184,11.363387437940839,,,
8.066666666666666,0.061461342368200104,0.08162934488926428,,,,4.172180901597695,4.574290246952201,,,,1.6244813009955437,4.053897097312437,,,,7.905577493640267,7.831576834014923,,,,5.718912540688562,5.239957183339479,,,,7.896338655048653,8.536774203422533,,,,10.377148413450684,11.393462399271144,,,
8.1,0.06103596454881733,0.08127782561579244,,,,4.092909796271362,4.498091119518132,,,,1.6085199896009457,4.030703001891493,,,,7.949978465431491,7.868857648567962,,,,5.705081027239801,5.245866796326933,,,,7.865943356446307,8.4976425237238,,,,10.428157216311984,11.420434949626852,,,
8.133333333333333,0.06062741228823743,0.08093562362928045,,,,4.015469985106603,4.4234408441512745,,,,1.5929567749433904,4.007628986052513,,,,7.991688486718513,7.903710036273973,,,,5.689942780764085,5.250605713614305,,,,7.834285793284322,8.457440559902432,,,,10.476110124633875,11.44435133370718,,,
8.166666666666666,0.06023474547260074,0.08060223225540979,,,,3.939828650419262,4.350317815997118,,,,1.5777693716306258,3.9846664305942525,,,,8.030712245126775,7.936142254443386,,,,5.673529140199661,5.254180055122199,,,,7.80141282575702,8.416212781977299,,,,10.521031735894917,11.465259086170379,,,
8.2,0.05985707901569042,0.08027716209262953,,,,3.865952847113851,4.278700051352927,,,,1.5629367624120127,3.9618073046382234,,,,8.067057366751802,7.966164855728174,,,,5.655872726246522,5.256597305379541,,,,7.767370800706621,8.37400295683781,,,,10.562948790508795,11.483206910223231,,,
8.233333333333333,0.05949357880977518,0.07995994037614676,,,,3.7938095541777197,4.208565234992115,,,,1.5484391384658076,3.9390441438446007,,,,8.100734322403957,7.993790612848917,,,,5.637007332122231,5.257866278533138,,,,7.7322055188163645,8.330854131436551,,,,10.601890046068794,11.498244561375333,,,
8.266666666666667,0.05914345800692746,0.07965011040042405,,,,3.723365723307979,4.139890765413976,,,,1.534257841504124,3.916370028637986,,,,8.131756331353392,8.019034441793714,,,,5.61696781463628,5.257997080425977,,,,7.695962204321197,8.286808617945793,,,,10.637886154875149,11.51042273628337,,,
8.3,0.05880597360504781,0.07934723099407459,,,,3.6545883247420226,4.072653798046042,,,,1.5203753077344853,3.893778562519408,,,,8.160139262929292,8.041913323721644,,,,5.59578998597237,5.25700106798024,,,,7.658685477136861,8.241907980776311,,,,10.670969544849033,11.519792966596214,,,
8.333333333333334,0.058480423314685,0.07905087604154037,,,,3.5874443903643565,4.006831286429387,,,,1.5067750137041755,3.8712638505333388,,,,8.185901536316205,8.062446225796045,,,,5.573510506543917,5.254890806121363,,,,7.620419327309333,8.196193025359886,,,,10.701174303912582,11.526407517698818,,,
8.366666666666667,0.05816614268447108,0.07876063404639978,,,,3.521901054164303,3.9424000214200055,,,,1.4934414240422327,3.8488204779513127,,,,8.209064018878308,8.08065402116543,,,,5.5501667792639315,5.251680022478714,,,,7.58120709168826,8.149703788599576,,,,10.72853606789095,11.53031929224291,,,
8.4,0.057862502464607765,0.07847610773158252,,,,3.4579255901207273,3.879336668442219,,,,1.4803599411037236,3.826443489227031,,,,8.229649923330042,8.096559408301841,,,,5.525796845546396,5.24738356009678,,,,7.541091432729671,8.102479530895193,,,,10.753091911972502,11.53158173834338,,,
8.433333333333334,0.057568906189343405,0.07819691367217124,,,,3.3954854475913248,3.8176178028324683,,,,1.4675168565119443,3.8041283672714545,,,,8.247684704058745,8.110186829898417,,,,5.500439283332237,5.242017328388095,,,,7.500114319335253,8.054558729654122,,,,10.774880245744287,11.530248762312679,,,
8.466666666666667,0.057284787960782485,0.07792268195684174,,,,3.3345482842852667,3.757219943314276,,,,1.4548993045861807,3.7818710130905693,,,,8.263195952891495,8.121562391519472,,,,5.474133107409285,5.235598252555842,,,,7.4583170096375095,8.00597907420127,,,,10.793940711803826,11.526374645799915,,,
8.5,0.05700961041767463,0.07765305587434514,,,,3.27508199689897,3.6981195836472147,,,,1.442495217635691,3.7596677258229234,,,,8.276213294585137,8.130713780188046,,,,5.4469176722722565,5.22814422170968,,,,7.415740035642323,7.956777462004754,,,,10.810314087933477,11.520013967197718,,,
8.533333333333333,0.05674286287404556,0.07738769162175818,,,,3.2170547494955066,3.6402932224947055,,,,1.4302932830944581,3.737515183209002,,,,8.286768282304521,8.13767018308714,,,,5.418832577745584,5.219674035893489,,,,7.3724231896427925,7.906989996137426,,,,10.824042192810982,11.511221527176644,,,
8.566666666666666,0.056484059613664026,0.07712625803153261,,,,3.1604349997087584,3.583717391557101,,,,1.4182829024660146,3.7154104225197346,,,,8.29489429334037,8.142462206542218,,,,5.389917577569357,5.210207352238208,,,,7.328405512320497,7.856651983897458,,,,10.835167795218648,11.500052278205763,,,
8.6,0.05623273832739038,0.0768684363146545,,,,3.105191522853705,3.5283686820180553,,,,1.4064541520431189,3.693350821967059,,,,8.300626425304122,8.145121795443776,,,,5.360212491126458,5.199764630446552,,,,7.283725282452798,7.805797936514484,,,,10.843734526703958,11.486561257917137,,,
8.633333333333333,0.05598845868143361,0.07661391981748908,,,,3.0512934340243625,3.474223769353386,,,,1.394797745363275,3.6713340826154375,,,,8.304001393023347,8.14568215326017,,,,5.329757118467369,5.188367077809815,,,,7.2384200081473065,7.7544615698709825,,,,10.849786797636376,11.470803526172219,,,
8.666666666666666,0.055750801005452426,0.0763624137901291,,,,2.9987102082607535,3.421259436552766,,,,1.3833049973578986,3.6493582108095324,,,,8.305057426347435,8.144177662781889,,,,5.298591158768027,5.176036593949721,,,,7.19252641952702,7.7026758061716825,,,,10.853369716598031,11.452834105689034,,,
8.7,0.0555193650902842,0.07611363516429169,,,,2.9474116988659587,3.3694525958053605,,,,1.3719677901503509,3.6274215011298336,,,,8.303834169059503,8.14064380773016,,,,5.266754132335823,5.162795715470533,,,,7.146080462792162,7.650472776496953,,,,10.854529013040636,11.43270792609074,,,
8.733333333333333,0.055293769085872226,0.07586731233901943,,,,2.897368153953783,3.3187803087012244,,,,1.3607785404559702,3.605522519884949,,,,8.300372579076999,8.135117095353833,,,,5.234285306259068,5.14866756069877,,,,7.09911729558734,7.59788382417911,,,,10.853310963135977,11.410479771238185,,,
8.766666666666667,0.055073648490693614,0.07562318497263637,,,,2.848550231306818,3.269219805000684,,,,1.3497301685356469,3.5836600891464445,,,,8.294714830109996,8.127634980130265,,,,5.20122362377629,5.133675774679394,,,,7.051671283604855,7.544939508943572,,,,10.849762318744112,11.386204229711726,,,
