Distance (m),2 h,4 h,6 h,8 h,10 h,12 h
0.050100200400801605,3.1756949869599714e-09,3.6353072644170493e-07,1.9420722235260673e-06,1.869193452079319e-06,7.583482933647984e-07,2.778203581148842e-07
0.05050100200400802,3.307738826966536e-09,3.613254925156429e-07,1.931949842512396e-06,1.8698807675216246e-06,7.740205718551917e-07,2.867758659249478e-07
0.05090180360721443,3.4465688137759925e-09,3.6031369234742314e-07,1.927332645132372e-06,1.8706473963775627e-06,7.898743505168949e-07,2.955314526513834e-07
0.05130260521042084,3.612801150501954e-09,3.604798131025854e-07,1.9278962811087224e-06,1.8763887184363809e-06,8.072921705485956e-07,3.0441065447678267e-07
0.051703406813627256,3.856945227576901e-09,3.614743337644773e-07,1.9315634835485797e-06,1.8991136187771388e-06,8.304109377149155e-07,3.147995189678075e-07
0.052104208416833664,4.161206598223966e-09,3.630969178761472e-07,1.9375466115429933e-06,1.9356505681921848e-06,8.581962087618237e-07,3.264495441170936e-07
0.05250501002004008,4.503677444807012e-09,3.6516217321446786e-07,1.9451620485126074e-06,1.981903427715898e-06,8.892912201980788e-07,3.390060929043275e-07
0.05290581162324649,4.862449949689891e-09,3.67484707556312e-07,1.953726177878064e-06,2.033776058382656e-06,9.223392085324377e-07,3.521145283091945e-07
0.05330661322645291,5.215616295236455e-09,3.698791286785524e-07,1.962555383060006e-06,2.0871723212268375e-06,9.559834102736583e-07,3.6542021331138057e-07
0.053707414829659315,5.541268663810555e-09,3.721600443580618e-07,1.9709660474790764e-06,2.137996077282819e-06,9.888670619304975e-07,3.7856851089057137e-07
0.05410821643286573,5.8174992377760535e-09,3.741420623717131e-07,1.9782745545559175e-06,2.18215118758498e-06,1.0196334000117142e-06,3.9120478402645294e-07
0.054509018036072145,6.022400199496799e-09,3.7563979049637896e-07,1.9837972877111726e-06,2.2155415131676985e-06,1.046925661026065e-06,4.02974395698711e-07
0.05490981963927856,6.134063731336647e-09,3.7646783650893225e-07,1.986850630365485e-06,2.234070915065352e-06,1.0693870814823083e-06,4.1352270888703126e-07
0.05531062124248497,6.144129454509852e-09,3.7626729275960167e-07,1.9862965861093397e-06,2.236565956476976e-06,1.0861898811589738e-06,4.225283470859233e-07
0.05571142284569138,6.115441897760024e-09,3.7408302933719323e-07,1.9795761521808517e-06,2.236691218627962e-06,1.0996948855952622e-06,4.301040097345391e-07
0.056112224448897796,6.061959569874293e-09,3.70058457279827e-07,1.9672169457253083e-06,2.236781339604113e-06,1.110964901434488e-06,4.3663024328555693e-07
0.05651302605210421,5.987106377015241e-09,3.645033337361787e-07,1.9501961498530146e-06,2.236846140294856e-06,1.1206920179898385e-06,4.424875268846922e-07
0.05691382765531062,5.89430622534545e-09,3.5772741585492386e-07,1.929490947674278e-06,2.236895441589616e-06,1.1295683245745001e-06,4.4805633967766025e-07
0.05731462925851703,5.786983021027499e-09,3.500404607847378e-07,1.9060785222994027e-06,2.236939064377819e-06,1.1382859105016594e-06,4.5371716081017683e-07
0.05771543086172345,5.66856067022397e-09,3.417522256742962e-07,1.8809360568386956e-06,2.2369868295488904e-06,1.1475368650845036e-06,4.5985046942795703e-07
0.05811623246492986,5.542463079097447e-09,3.3317246767227455e-07,1.8550407344024626e-06,2.2370485579922574e-06,1.1580132776362185e-06,4.668367446767166e-07
0.05851703406813627,5.412114153810512e-09,3.246109439273486e-07,1.8293697381010099e-06,2.237134070597345e-06,1.170407237469991e-06,4.7505646570217063e-07
0.058917835671342685,5.280937800525741e-09,3.163774115881935e-07,1.8049002510446431e-06,2.2372531882535786e-06,1.1854108338990085e-06,4.848901116500349e-07
0.0593186372745491,5.1499891316598016e-09,3.08694861292733e-07,1.7824230761465074e-06,2.2378476090650197e-06,1.2046851858227856e-06,4.974042851292733e-07
